EntryID,LigandFormula,LigandMW,LigandID,LigandName,InChIKey,LigandSMILES,LigandofInterest,AsymID,AuthAsymID,EntityID,freeLigand,numTotalCount
9DL5,C8 H18 O5,194.226,PG4,TETRAETHYLENE GLYCOL,UWHCKJMYHZGTIT-UHFFFAOYSA-N,C(COCCOCCOCCO)O,NA,"AA, H","A, B",6,TRUE,2
9DL5,C9 H7 Cl O,166.604,A1BDA,"5-chloro-2,3-dihydro-1H-inden-1-one",MEDSHTHCZIOVPU-UHFFFAOYSA-N,c1cc2c(cc1Cl)CCC2=O,Y,J,A,7,TRUE,1
9DL5,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"HA, IA, JA, KA, LA, M, MA, N, NA, O, OA, P, PA, Q, QA, R, S, T, U","A, B",8,TRUE,19
9DL7,C27 H33 N9 O15 P2,785.55,FAD,FLAVIN-ADENINE DINUCLEOTIDE,VWWQXMAJTJZDQX-UYBVJOGSSA-N,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)n5cnc6c5ncnc6N)O)O)O)O)O,Y,"C, GA","A, B",2,TRUE,2
9DL7,C4 H10 O3,106.12,PEG,DI(HYDROXYETHYL)ETHER,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C(COCCO)O,NA,"D, F, I, IA, JA, MA, N, OA","A, B",3,TRUE,8
9DL7,C6 H14 O4,150.173,PGE,TRIETHYLENE GLYCOL,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,C(COCCOCCO)O,NA,"E, HA","A, B",4,TRUE,2
9DL7,C H2 O2,46.025,FMT,FORMIC ACID,BDAGIHXWWSANSR-UHFFFAOYSA-N,C(=O)O,NA,"H, J, K, L, LA, M, NA, O, P, PA, QA, RA","A, B",6,TRUE,12
9DL7,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"AA, AB, BA, BB, CA, DA, EA, FA, Q, R, S, SA, T, TA, U, UA, V, VA, W, WA, X, XA, Y, YA, Z, ZA","A, B",7,TRUE,26
9DL7,C7 H7 F N2 S,170.207,8P4,1-(4-fluorophenyl)thiourea,BRWKXKNZRVALNZ-UHFFFAOYSA-N,c1cc(ccc1NC(=S)N)F,Y,"G, KA","A, B",5,TRUE,2
9DL8,C4 H10 O3,106.12,PEG,DI(HYDROXYETHYL)ETHER,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C(COCCO)O,NA,"D, DA, E, F, FA, G, GA, H, HA, I, IA, J, KA, L, MA, N, Q, R, RA, S, TA, V","A, B",3,TRUE,22
9DL8,C8 H10 O2,138.164,A1BDD,(4-methoxyphenyl)methanol,MSHFRERJPWKJFX-UHFFFAOYSA-N,COc1ccc(cc1)CO,Y,"JA, K","A, B",4,TRUE,2
9DL8,C6 H14 O4,150.173,PGE,TRIETHYLENE GLYCOL,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,C(COCCOCCO)O,NA,"EA, M, PA","A, B",5,TRUE,3
9DL8,C8 H18 O5,194.226,PG4,TETRAETHYLENE GLYCOL,UWHCKJMYHZGTIT-UHFFFAOYSA-N,C(COCCOCCOCCO)O,NA,"LA, NA, O, T","A, B",6,TRUE,4
9DL8,C H2 O2,46.025,FMT,FORMIC ACID,BDAGIHXWWSANSR-UHFFFAOYSA-N,C(=O)O,NA,"OA, P, QA, SA, U, W","A, B",7,TRUE,6
9DL8,C21 H27 N7 O14 P2,663.425,NAD,NICOTINAMIDE-ADENINE-DINUCLEOTIDE,BAWFJGJZGIEFAR-NNYOXOHSSA-N,c1cc(c[n+](c1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N,Y,"UA, X","A, B",8,TRUE,2
9DL8,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"AA, BA, VA, WA, Y, Z","A, B",9,TRUE,6
9DL8,C27 H33 N9 O15 P2,785.55,FAD,FLAVIN-ADENINE DINUCLEOTIDE,VWWQXMAJTJZDQX-UYBVJOGSSA-N,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)n5cnc6c5ncnc6N)O)O)O)O)O,Y,"C, CA","A, B",2,TRUE,2
9DLW,C70 H83 Cl2 F6 N9 O15,1475.356,A1BAF,"N-{(1P)-5'-({(32E)-33-[(3P)-4-{[(1S)-3-amino-1-(3-chloro-4-fluorophenyl)-3-oxopropyl]carbamoyl}-3-(4-chloro-2-fluorophenyl)-1H-pyrrol-2-yl]-31-oxo-3,6,9,12,15,18,21,24,27-nonaoxa-30-azatritriacont-32-en-1-yl}carbamoyl)-2'-fluoro-4-[(3R,5S)-3,4,5-trimethylpiperazin-1-yl][1,1'-biphenyl]-3-yl}-6-oxo-4-(trifluoromethyl)-1,6-dihydropyridine-3-carboxamide",KIGDZIDFRUJOPN-FNKBYVCVSA-N,CC1CN(CC(N1C)C)c2ccc(cc2NC(=O)C3=CNC(=O)C=C3C(F)(F)F)c4cc(ccc4F)C(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)C=Cc5c(c(c[nH]5)C(=O)NC(CC(=O)N)c6ccc(c(c6)Cl)F)c7ccc(cc7F)Cl,Y,C,B,3,TRUE,1
9DMM,C10 H15 N5 O11 P2,443.201,GDP,GUANOSINE-5'-DIPHOSPHATE,QGWNDRXFNXRZMB-UUOKFMHZSA-N,c1nc2c(n1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,NA,D,A,4,TRUE,1
9DOL,C25 H27 Cl2 N5 O,484.421,A1A8O,"(2S)-2-amino-2-{1-[(5M)-5-(3,5-dichloropyridin-2-yl)isoquinolin-1-yl]piperidin-4-yl}-1-(pyrrolidin-1-yl)ethan-1-one",XHMSDQXEIBTTBE-QFIPXVFZSA-N,c1cc2c(ccnc2N3CCC(CC3)C(C(=O)N4CCCC4)N)c(c1)c5c(cc(cn5)Cl)Cl,Y,F,A,3,TRUE,1
9DOM,C26 H27 N3 O4,445.51,A1A8N,"(3S)-3-(1'-benzyl-6-oxo-6,8-dihydro-2H,7H-spiro[furo[2,3-e]isoindole-3,4'-piperidin]-7-yl)piperidine-2,6-dione",HZXUBAMXBADXJI-NRFANRHFSA-N,c1ccc(cc1)CN2CCC3(CC2)COc4c3ccc5c4CN(C5=O)C6CCC(=O)NC6=O,Y,"I, L, O, R","A, C, E, G",3,TRUE,4
